*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Cu	0.012	752	-	VH	80
Cu	0.011	794	-	VH	80
Cu	0.01	778	-	VH	80
Cu	0.011	881	-	VH	80
Cu	0.009	861	-	VH	80
Cu	0.007	843	-	VH	80
Cu	0.004	838	-	VH	80
Cu	0.004	870	-	VH	80
Cu	0.026	705	-	VH	80
Cu	0.028	803	-	VH	80
Cu	0.013	702	-	VH	80
Cu	0.015	759	-	VH	80
Cu	0.013	834	-	VH	80
Cu	0.01	828	-	VH	80
Cu	0.009	879	-	VH	80
Cu	0.009	860	-	VH	80
Cu	0.008	874	-	VH	80
Cu	0.005	846	-	VH	80
Cu	0.422	103	-	MDBT	81
Cu	49	56	-	MDBT	81
Cu	237	75	-	MDBT	81
Cu	14	131	-	MDBT	81
Cu	105	98	-	MDBT	81
Cu	12	132	-	MDBT	81
Cu	12	177	-	MDBT	81
Cu	40	20	-	MDBT	81
Cu	21	36	-	MDBT	81
Cu	17	60	-	MDBT	81
Cu	6	98	-	MDBT	81
Cu	5	150	-	MDBT	81
Cu	1.4	221	-	MDBT	81
Cu	1.2	203	-	MDBT	81
Cu	0.31	193	-	MDBT	81
Cu	0.14	361	-	MDBT	81
Cu	0.12	390	-	MDBT	81
Cu	0.55	505	-	VH	82
Cu	0.34	678	-	VH	82
Cu	0.18	735	-	VH	82
Cu	0.15	817	-	VH	82
Cu	0.031	864	-	VH	82
Cu	0.038	400	-	VH	83
Cu	0.055	306	-	VH	83
Cu	1.6	219	-	VH	84
Cu	0.89	384	-	VH	84
Cu	0.47	497	-	VH	84
Cu	0.36	516	-	VH	84
Cu	0.15	600	-	VH	84
Cu	153	14	0.002	TT	69
Cu	40	23	0.002	TT	69
Cu	15	38	0.002	TT	69
Cu	6	62	0.002	TT	69
Cu	3	83	0.002	TT	69
Cu	0.79	190	0.002	CT	77
Cu	0.35	228	0.002	CT	77
Cu	0.12	306	0.002	CT	77
Cu	0.051	464	0.002	CT	77
Cu	0.032	585	0.002	CT	77
Cu	0.027	621	0.002	CT	77
Cu	0.022	677	0.002	CT	77
Ag	58	38	0.002	TT	87
Ag	39	45	0.002	TT	87
Ag	25	51	0.002	TT	87
Ag	22	63	0.002	TT	87
Ag	17	65	0.002	TT	87
Ag	15	62	0.002	TT	87
Ag	10	70	0.002	TT	87
Ag	8.6	84	0.002	TT	87
Ag	6.4	105	0.002	TT	87
Ag	5.6	133	0.002	TT	87
Ag	2.9	111	0.002	TT	87
Ag	2.9	121	0.002	TT	87
Ag	2.6	130	0.002	TT	87
Ag	2.6	136	0.002	TT	87
Ag	2.6	161	0.002	TT	87
Ag	1.6	119	0.002	TT	87
Ag	1.6	163	0.002	TT	87
Ag	1.4	148	0.002	TT	87
Ag	1.4	185	0.002	TT	87
Ag	1.1	172	0.002	TT	87
Ag	1.2	210	0.002	TT	87
Ag	0.31	303	-	VH	88
Ag	0.28	301	-	VH	88
Ag	0.24	296	-	VH	88
